iter	Passed	Remaining
0	4	4872
1	9	4946
2	14	4755
3	19	4792
4	23	4772
5	28	4767
6	33	4732
7	38	4713
8	42	4715
9	47	4711
10	52	4714
11	57	4715
12	62	4726
13	66	4714
14	72	4731
15	76	4719
16	81	4717
17	86	4728
18	91	4728
19	96	4718
20	101	4724
21	106	4715
22	110	4705
23	115	4699
24	121	4725
25	125	4714
26	130	4717
27	136	4747
28	141	4724
29	145	4712
30	150	4705
31	155	4689
32	159	4682
33	164	4671
34	169	4667
35	173	4657
36	178	4648
37	184	4659
38	188	4655
39	193	4644
40	198	4638
41	203	4630
42	207	4624
43	212	4612
44	216	4601
45	221	4590
46	226	4584
47	230	4576
48	235	4573
49	240	4567
50	244	4558
51	249	4548
52	254	4545
53	259	4539
54	263	4535
55	268	4532
56	274	4533
57	278	4529
58	283	4525
59	288	4522
60	293	4514
61	297	4504
62	302	4494
63	306	4487
64	311	4481
65	316	4472
66	320	4463
67	325	4457
68	329	4448
69	334	4440
70	338	4433
71	343	4425
72	347	4416
73	352	4411
74	357	4406
75	361	4397
76	366	4391
77	370	4383
78	375	4373
79	379	4366
80	384	4358
81	388	4354
82	394	4355
83	398	4350
84	403	4344
85	407	4335
86	412	4333
87	417	4326
88	421	4317
89	426	4316
90	431	4311
91	436	4309
92	438	4281
93	443	4274
94	448	4268
95	452	4261
96	456	4252
97	462	4253
98	466	4249
99	471	4242
100	476	4236
101	480	4229
102	485	4223
103	489	4220
104	494	4213
105	499	4211
106	503	4205
107	508	4203
108	514	4203
109	519	4199
110	523	4192
111	528	4190
112	533	4186
113	538	4182
114	544	4188
115	549	4190
116	554	4185
117	559	4182
118	564	4175
119	568	4169
120	572	4162
121	577	4154
122	581	4148
123	586	4142
124	591	4138
125	595	4132
126	600	4129
127	605	4122
128	610	4119
129	614	4115
130	620	4112
131	624	4105
132	628	4099
133	633	4094
134	638	4089
135	642	4084
136	647	4078
137	652	4073
138	656	4069
139	662	4067
140	666	4062
141	671	4055
142	675	4050
143	680	4044
144	684	4037
145	689	4033
146	694	4028
147	698	4021
148	703	4016
149	707	4010
150	712	4005
151	717	4001
152	721	3996
153	726	3992
154	731	3988
155	736	3983
156	740	3978
157	745	3971
158	749	3964
159	754	3960
160	759	3955
161	763	3950
162	768	3946
163	773	3940
164	777	3935
165	781	3928
166	787	3925
167	791	3921
168	796	3915
169	800	3908
170	805	3903
171	809	3898
172	814	3893
173	819	3888
174	823	3883
175	828	3877
176	833	3873
177	837	3867
178	841	3861
179	846	3855
180	851	3850
181	855	3845
182	860	3840
183	864	3833
184	868	3828
185	873	3822
186	878	3817
187	882	3812
188	887	3806
189	891	3801
190	896	3796
191	901	3793
192	905	3787
193	910	3783
194	915	3779
195	920	3775
196	924	3770
197	929	3764
198	934	3759
199	938	3754
200	943	3749
201	947	3744
202	952	3738
203	956	3733
204	961	3730
205	966	3725
206	971	3721
207	975	3716
208	980	3711
209	985	3705
210	990	3702
211	994	3698
212	999	3693
213	1004	3688
214	1009	3684
215	1014	3681
216	1018	3675
217	1023	3670
218	1028	3667
219	1033	3662
220	1037	3658
221	1042	3654
222	1047	3649
223	1051	3643
224	1056	3638
225	1061	3634
226	1065	3628
227	1070	3624
228	1074	3618
229	1079	3614
230	1084	3609
231	1088	3604
232	1093	3598
233	1097	3593
234	1102	3588
235	1107	3584
236	1111	3579
